postcode,sector,easting,northing,localAuthority,altitude,soilType
SO50 5FL,SO50 5,444797.0,118676.0,Eastleigh,10,Unsurveyed/Urban
PO36 0ET,PO36 0,459152.0,86140.0,Isle of Wight,30,Luvisols
TN22 5RB,TN22 5,550854.0,118449.0,Wealden,60,Planosols
ME15 7AS,ME15 7,576669.0,154234.0,Maidstone,60,Unsurveyed/Urban
SE18 6HT,SE18 6,543569.0,178880.0,Greenwich,10,Unsurveyed/Urban
W6 9QX,W6 9,523267.0,178181.0,Hammersmith and Fulham,10,Unsurveyed/Urban
OX39 4TL,OX39 4,474907.0,200905.0,South Oxfordshire,110,Cambisols
PO1 1LB,PO1 1,464493.0,100280.0,Portsmouth,10,Unsurveyed/Urban
TW7 5XG,TW7 5,516397.0,176757.0,Hounslow,10,Cambisols
TW10 7DY,TW10 7,517958.0,172908.0,Richmond upon Thames,10,Unsurveyed/Urban
NW8 9AN,NW8 9,526383.0,183191.0,Westminster,50,Unsurveyed/Urban
TN20 6NY,TN20 6,557891.0,126668.0,Wealden,110,Planosols
W6 7PD,W6 7,523481.0,179311.0,Hammersmith and Fulham,10,Unsurveyed/Urban
KT10 0RG,KT10 0,515497.0,163874.0,Elmbridge,30,Unsurveyed/Urban
E2 6LZ,E2 6,534477.0,182742.0,Tower Hamlets,10,Unsurveyed/Urban
KT12 4BX,KT12 4,510310.0,162706.0,Elmbridge,20,Luvisols
SW10 9DN,SW10 9,525938.0,177845.0,Kensington and Chelsea,0,Unsurveyed/Urban
SE9 5PA,SE9 5,542816.0,173491.0,Greenwich,50,Unsurveyed/Urban
SS15 6AB,SS15 6,568084.0,188213.0,Basildon,50,Unsurveyed/Urban
UB10 9DW,UB10 9,508063.0,183939.0,Hillingdon,40,Unsurveyed/Urban
GU4 8RR,GU4 8,504131.0,147829.0,Guildford,50,Luvisols
HA1 4AE,HA1 4,514489.0,187501.0,Harrow,60,Unsurveyed/Urban
IG2 6LZ,IG2 6,543459.0,188460.0,Redbridge,20,Unsurveyed/Urban
RM2 6AP,RM2 6,553020.0,189485.0,Havering,30,Unsurveyed/Urban
E14 3GX,E14 3,537640.0,178484.0,Tower Hamlets,10,Unsurveyed/Urban
W6 8NY,W6 8,524230.0,177859.0,Hammersmith and Fulham,0,Unsurveyed/Urban
HA5 2RP,HA5 2,510943.0,188922.0,Hillingdon,50,Unsurveyed/Urban
ME2 4RL,ME2 4,573953.0,170449.0,Medway,40,Cambisols
NW1 1XB,NW1 1,529433.0,182967.0,Camden,20,Unsurveyed/Urban
RG9 1UE,RG9 1,475757.0,182411.0,South Oxfordshire,50,Unsurveyed/Urban
SO50 4JP,SO50 4,445340.0,120233.0,Eastleigh,20,Luvisols
SL2 3XN,SL2 3,496708.0,186833.0,Buckinghamshire,90,Luvisols
SS14 3RB,SS14 3,572859.0,189126.0,Basildon,20,Unsurveyed/Urban
CT19 5RW,CT19 5,622622.0,136695.0,Folkestone and Hythe,20,Unsurveyed/Urban
SW4 0DF,SW4 0,529296.0,175682.0,Lambeth,20,Unsurveyed/Urban
PO4 9RU,PO4 9,465726.0,98345.0,Portsmouth,10,Unsurveyed/Urban
ME14 4DX,ME14 4,580162.0,155906.0,Maidstone,50,Unsurveyed/Urban
SO51 6ZA,SO51 6,432344.0,120894.0,Test Valley,40,Planosols
IG3 9LL,IG3 9,546086.0,186919.0,Redbridge,10,Unsurveyed/Urban
NW1 0EH,NW1 0,529210.0,184032.0,Camden,30,Unsurveyed/Urban
TN37 6AB,TN37 6,580371.0,108946.0,Hastings,10,Unsurveyed/Urban
TN27 0DL,TN27 0,595652.0,149358.0,Ashford,100,Cambisols
SS4 3EU,SS4 3,586519.0,193063.0,Rochford,30,Unsurveyed/Urban
TW4 6LR,TW4 6,510727.0,176562.0,Hounslow,20,Unsurveyed/Urban
TN36 4LH,TN36 4,591611.0,116820.0,Rother,10,Gleysols
RG1 8LG,RG1 8,470831.0,174195.0,Reading,40,Unsurveyed/Urban
SE6 3AQ,SE6 3,538114.0,171375.0,Lewisham,30,Unsurveyed/Urban
SW16 6XU,SW16 6,530045.0,171870.0,Lambeth,50,Unsurveyed/Urban
RH20 2PY,RH20 2,508354.0,117647.0,Horsham,30,Podzols
W1K 7TD,W1K 7,528055.0,180644.0,Westminster,20,Unsurveyed/Urban
BR3 6QJ,BR3 6,537961.0,168840.0,Bromley,50,Unsurveyed/Urban
IG1 3QW,IG1 3,543072.0,187825.0,Redbridge,20,Unsurveyed/Urban
TN29 0JA,TN29 0,607387.0,132119.0,Folkestone and Hythe,10,Gleysols
MK18 2LW,MK18 2,469678.0,226884.0,Buckinghamshire,90,Planosols
PO18 8NT,PO18 8,481067.0,104552.0,Chichester,10,Luvisols
N3 2TN,N3 2,525146.0,190564.0,Barnet,80,Unsurveyed/Urban
N16 9PJ,N16 9,532878.0,185505.0,Hackney,30,Unsurveyed/Urban
TN21 8BX,TN21 8,558180.0,120232.0,Wealden,120,Luvisols
CT11 8EY,CT11 8,638646.0,165535.0,Thanet,30,Unsurveyed/Urban
DA6 7LB,DA6 7,549532.0,175102.0,Bexley,50,Unsurveyed/Urban
OX44 9ES,OX44 9,459621.0,204488.0,South Oxfordshire,110,Cambisols
W1F 9ZN,W1F 9,529420.0,180763.0,Westminster,20,Unsurveyed/Urban
RG2 7DX,RG2 7,473452.0,170811.0,Reading,80,Unsurveyed/Urban
NW6 4AJ,NW6 4,525970.0,183931.0,Camden,40,Unsurveyed/Urban
GU8 5QZ,GU8 5,494034.0,140732.0,Waverley,60,Podzols
SE16 4JB,SE16 4,535126.0,179761.0,Southwark,0,Unsurveyed/Urban
NW2 6BE,NW2 6,523006.0,185646.0,Brent,40,Unsurveyed/Urban
E5 9NB,E5 9,535062.0,186841.0,Hackney,20,Unsurveyed/Urban
RG24 7BJ,RG24 7,466276.0,152762.0,Basingstoke and Deane,80,Unsurveyed/Urban
N1 0SR,N1 0,530605.0,183661.0,Islington,30,Unsurveyed/Urban
SO15 3BH,SO15 3,440551.0,112625.0,Southampton,10,Unsurveyed/Urban
TN34 1QD,TN34 1,581908.0,109689.0,Hastings,20,Unsurveyed/Urban
HA1 2XZ,HA1 2,515553.0,188104.0,Harrow,70,Unsurveyed/Urban
BN15 8BQ,BN15 8,518199.0,103768.0,Adur,10,Unsurveyed/Urban
CR0 8JT,CR0 8,537260.0,164931.0,Croydon,100,Unsurveyed/Urban
ME5 9PH,ME5 9,575963.0,162584.0,Medway,150,Unsurveyed/Urban
CT5 2NJ,CT5 2,613609.0,167195.0,Canterbury,10,Unsurveyed/Urban
SO24 9EQ,SO24 9,458976.0,132666.0,Winchester,80,Leptosols
RH2 0BZ,RH2 0,525563.0,151099.0,Reigate and Banstead,100,Unsurveyed/Urban
PO4 0HY,PO4 0,465589.0,99180.0,Portsmouth,10,Unsurveyed/Urban
HA1 1QN,HA1 1,515296.0,188567.0,Harrow,60,Unsurveyed/Urban
SP10 5AP,SP10 5,437946.0,146367.0,Test Valley,70,Unsurveyed/Urban
N1 2DJ,N1 2,531942.0,184027.0,Islington,30,Unsurveyed/Urban
RG14 1XE,RG14 1,446764.0,167414.0,West Berkshire,80,Leptosols
SO14 1ND,SO14 1,442034.0,111906.0,Southampton,10,Unsurveyed/Urban
BN27 2NZ,BN27 2,559577.0,109400.0,Wealden,20,Unsurveyed/Urban
BN18 0LF,BN18 0,497673.0,102880.0,Arun,0,Mixed
RM12 5TR,RM12 5,553332.0,185518.0,Havering,20,Unsurveyed/Urban
PO20 3TG,PO20 3,493182.0,104808.0,Arun,10,Gleysols
RG7 1LZ,RG7 1,470731.0,167012.0,Wokingham,50,Planosols
KT15 1BJ,KT15 1,504009.0,163806.0,Runnymede,30,Cambisols
SO23 8RB,SO23 8,449114.0,128410.0,Winchester,40,Cambisols
E5 8DT,E5 8,534901.0,185735.0,Hackney,20,Unsurveyed/Urban
CM13 3DT,CM13 3,559919.0,190444.0,Brentwood,60,Stagnosols
SW19 1DH,SW19 1,526468.0,170159.0,Merton,20,Unsurveyed/Urban
ME15 0DS,ME15 0,575629.0,151190.0,Maidstone,110,Luvisols
N15 6ED,N15 6,532624.0,188200.0,Haringey,20,Unsurveyed/Urban
ME17 2BX,ME17 2,590815.0,149532.0,Maidstone,90,Luvisols
RG23 7LW,RG23 7,460474.0,147475.0,Basingstoke and Deane,160,Luvisols
GU21 4PB,GU21 4,499443.0,158851.0,Woking,30,Unsurveyed/Urban
TW9 2JR,TW9 2,518724.0,175480.0,Richmond upon Thames,10,Unsurveyed/Urban
PO11 0NB,PO11 0,472029.0,103395.0,Havant,10,Luvisols
TN28 8HB,TN28 8,606079.0,124588.0,Folkestone and Hythe,10,Arenosols
GU52 6DX,GU52 6,481989.0,152407.0,Hart,90,Unsurveyed/Urban
PO4 0LW,PO4 0,465324.0,99144.0,Portsmouth,10,Unsurveyed/Urban
SW8 1BF,SW8 1,530976.0,177348.0,Lambeth,10,Unsurveyed/Urban
RH15 0QG,RH15 0,532169.0,120084.0,Mid Sussex,40,Unsurveyed/Urban
UB3 1SH,UB3 1,509648.0,179998.0,Hillingdon,30,Unsurveyed/Urban
RH12 1JD,RH12 1,517404.0,130346.0,Horsham,50,Unsurveyed/Urban
SW3 5EX,SW3 5,526718.0,177670.0,Kensington and Chelsea,10,Unsurveyed/Urban
NW10 5HA,NW10 5,523100.0,183310.0,Brent,50,Unsurveyed/Urban
N6 5DA,N6 5,529170.0,187915.0,Haringey,70,Unsurveyed/Urban
HA6 2UF,HA6 2,508179.0,190973.0,Hillingdon,70,Unsurveyed/Urban
N19 5SE,N19 5,529484.0,186765.0,Islington,50,Unsurveyed/Urban
PO12 1UA,PO12 1,460987.0,99788.0,Gosport,10,Unsurveyed/Urban
SW6 1BT,SW6 1,525328.0,177338.0,Hammersmith and Fulham,0,Unsurveyed/Urban
HP5 1BP,HP5 1,495997.0,201661.0,Buckinghamshire,110,Luvisols
RG20 5QB,RG20 5,452105.0,158261.0,Basingstoke and Deane,100,Leptosols
KT18 5RB,KT18 5,523202.0,158071.0,Reigate and Banstead,160,Unsurveyed/Urban
UB8 2EJ,UB8 2,505447.0,182225.0,Hillingdon,30,Unsurveyed/Urban
SW1X 7JU,SW1X 7,527893.0,179780.0,Westminster,10,Cambisols
BN12 6JF,BN12 6,511336.0,103585.0,Worthing,10,Cambisols
E11 4PY,E11 4,538945.0,186684.0,Waltham Forest,20,Unsurveyed/Urban
E14 0EX,E14 0,538105.0,180852.0,Tower Hamlets,10,Unsurveyed/Urban
SW14 8NY,SW14 8,520727.0,175660.0,Richmond upon Thames,10,Unsurveyed/Urban
SP10 3BA,SP10 3,435313.0,145557.0,Test Valley,80,Unsurveyed/Urban
SE28 0JG,SE28 0,545592.0,179979.0,Greenwich,10,Unsurveyed/Urban
KT4 7EE,KT4 7,521952.0,164905.0,Epsom and Ewell,40,Unsurveyed/Urban
SW18 2ED,SW18 2,526472.0,174406.0,Wandsworth,20,Unsurveyed/Urban
KT19 9TX,KT19 9,521463.0,163135.0,Epsom and Ewell,30,Unsurveyed/Urban
CT14 7DP,CT14 7,637712.0,151809.0,Dover,10,Unsurveyed/Urban
SN7 8PG,SN7 8,434344.0,193200.0,Vale of White Horse,70,Leptosols
RM9 4NA,RM9 4,546931.0,184784.0,Barking and Dagenham,10,Unsurveyed/Urban
RH2 7AX,RH2 7,525494.0,149917.0,Reigate and Banstead,80,Unsurveyed/Urban
SO16 7AX,SO16 7,440926.0,115447.0,Southampton,50,Unsurveyed/Urban
KT19 8HT,KT19 8,518428.0,161289.0,Epsom and Ewell,60,Planosols
SE18 2AR,SE18 2,546277.0,177481.0,Greenwich,30,Unsurveyed/Urban
DA13 9BT,DA13 9,565639.0,168090.0,Gravesham,100,Luvisols
MK18 2RP,MK18 2,470257.0,227134.0,Buckinghamshire,100,Planosols
HA3 5JL,HA3 5,514893.0,190775.0,Harrow,70,Unsurveyed/Urban
PO1 1RE,PO1 1,465032.0,100142.0,Portsmouth,10,Unsurveyed/Urban
IG1 3AB,IG1 3,543531.0,186585.0,Redbridge,10,Unsurveyed/Urban
RH10 9SA,RH10 9,528268.0,138352.0,Crawley,70,Unsurveyed/Urban
E11 4AS,E11 4,538952.0,187362.0,Waltham Forest,20,Unsurveyed/Urban
OX11 8UG,OX11 8,453730.0,189774.0,South Oxfordshire,60,Gleysols
W1K 3NQ,W1K 3,528557.0,180619.0,Westminster,20,Unsurveyed/Urban
W1G 6EH,W1G 6,528383.0,181836.0,Westminster,30,Unsurveyed/Urban
NW2 6DS,NW2 6,523731.0,185630.0,Brent,50,Unsurveyed/Urban
ME10 2SL,ME10 2,590827.0,166378.0,Swale,10,Stagnosols
N1 2AF,N1 2,531828.0,184343.0,Islington,30,Unsurveyed/Urban
CR4 2BU,CR4 2,528111.0,170396.0,Merton,20,Unsurveyed/Urban
RM6 4PR,RM6 4,546907.0,187811.0,Redbridge,20,Unsurveyed/Urban
UB8 2BF,UB8 2,505302.0,182935.0,Hillingdon,30,Unsurveyed/Urban
BN21 3UX,BN21 3,561020.0,99326.0,Eastbourne,10,Unsurveyed/Urban
TN39 4JA,TN39 4,573197.0,108034.0,Rother,10,Unsurveyed/Urban
ME19 5JH,ME19 5,568644.0,160994.0,Tonbridge and Malling,30,Luvisols
HA8 7PY,HA8 7,519099.0,192163.0,Barnet,60,Unsurveyed/Urban
EC1V 9EY,EC1V 9,532990.0,182596.0,Hackney,20,Unsurveyed/Urban
DA9 9AT,DA9 9,557438.0,174866.0,Dartford,20,Cambisols
DA3 8ND,DA3 8,559180.0,166193.0,Sevenoaks,130,Luvisols
KT11 2RL,KT11 2,512187.0,160070.0,Elmbridge,40,Unsurveyed/Urban
NW4 4LH,NW4 4,522771.0,189722.0,Barnet,70,Unsurveyed/Urban
RM14 2YY,RM14 2,555834.0,186796.0,Havering,30,Unsurveyed/Urban
RM7 8LA,RM7 8,549447.0,190471.0,Havering,20,Cambisols
SO16 4NR,SO16 4,438578.0,114044.0,Southampton,10,Unsurveyed/Urban
RM5 3YR,RM5 3,550620.0,191497.0,Havering,50,Unsurveyed/Urban
SW1P 3JH,SW1P 3,530160.0,179128.0,Westminster,10,Unsurveyed/Urban
SW18 5RE,SW18 5,525111.0,173617.0,Wandsworth,10,Unsurveyed/Urban
PO33 1DZ,PO33 1,459889.0,91688.0,Isle of Wight,30,Luvisols
SE2 9AS,SE2 9,547522.0,179737.0,Bexley,0,Unsurveyed/Urban
N4 3NY,N4 3,531174.0,186487.0,Islington,30,Unsurveyed/Urban
OX14 3BN,OX14 3,450573.0,195246.0,South Oxfordshire,60,Luvisols
UB10 9DQ,UB10 9,508455.0,183667.0,Hillingdon,40,Mixed
BR2 8EQ,BR2 8,542763.0,167456.0,Bromley,60,Unsurveyed/Urban
SO18 5GA,SO18 5,446596.0,113909.0,Southampton,70,Unsurveyed/Urban
N19 4JF,N19 4,530342.0,186726.0,Islington,40,Unsurveyed/Urban
RG30 4AL,RG30 4,468101.0,172895.0,Reading,80,Unsurveyed/Urban
HP22 6DE,HP22 6,486666.0,208236.0,Buckinghamshire,120,Leptosols
SW7 5PU,SW7 5,526283.0,179248.0,Kensington and Chelsea,10,Unsurveyed/Urban
RG42 5PS,RG42 5,484075.0,172506.0,Bracknell Forest,70,Planosols
IG4 5LY,IG4 5,542229.0,189292.0,Redbridge,30,Unsurveyed/Urban
HA1 3TN,HA1 3,515930.0,186402.0,Harrow,70,Unsurveyed/Urban
KT3 3LQ,KT3 3,520571.0,169148.0,Kingston upon Thames,20,Unsurveyed/Urban
HA4 0JH,HA4 0,512265.0,185745.0,Hillingdon,40,Unsurveyed/Urban
W1K 2JY,W1K 2,528155.0,180760.0,Westminster,20,Unsurveyed/Urban
NW5 3AH,NW5 3,528869.0,185002.0,Camden,40,Unsurveyed/Urban
NW10 5SD,NW10 5,523262.0,182972.0,Brent,50,Unsurveyed/Urban
CR0 7EJ,CR0 7,534580.0,166324.0,Croydon,60,Unsurveyed/Urban
EN5 1DU,EN5 1,526265.0,195336.0,Barnet,80,Unsurveyed/Urban
UB3 4BP,UB3 4,509140.0,178594.0,Hillingdon,30,Unsurveyed/Urban
EN5 4NZ,EN5 4,523794.0,196963.0,Barnet,120,Unsurveyed/Urban
RG2 7QF,RG2 7,472217.0,170620.0,Reading,50,Unsurveyed/Urban
ME2 2DZ,ME2 2,573491.0,169062.0,Medway,10,Unsurveyed/Urban
BN22 9HD,BN22 9,561091.0,102810.0,Eastbourne,0,Unsurveyed/Urban
W3 7AP,W3 7,521005.0,180744.0,Ealing,20,Unsurveyed/Urban
RH2 0AN,RH2 0,525429.0,150254.0,Reigate and Banstead,80,Unsurveyed/Urban
CT9 2TJ,CT9 2,636832.0,170522.0,Thanet,30,Unsurveyed/Urban
CR0 2SZ,CR0 2,531669.0,166921.0,Croydon,50,Unsurveyed/Urban
E5 9PH,E5 9,535287.0,186730.0,Hackney,10,Unsurveyed/Urban
RG41 5JY,RG41 5,478720.0,170952.0,Wokingham,50,Planosols
RH10 9TU,RH10 9,527948.0,138492.0,Crawley,70,Unsurveyed/Urban
CM4 0HZ,CM4 0,564097.0,201228.0,Brentwood,90,Planosols
BN20 0HE,BN20 0,555721.0,98163.0,Wealden,90,Leptosols
TN21 9HJ,TN21 9,559121.0,115825.0,Wealden,50,Planosols
N20 8QH,N20 8,525838.0,194174.0,Barnet,70,Unsurveyed/Urban
WC1A 2BA,WC1A 2,530314.0,181534.0,Camden,20,Unsurveyed/Urban
SS3 0HQ,SS3 0,594106.0,188317.0,Rochford,10,Luvisols
OX10 9FW,OX10 9,460028.0,189356.0,South Oxfordshire,50,Luvisols
SE28 0HJ,SE28 0,544779.0,179860.0,Greenwich,10,Unsurveyed/Urban
W3 0EL,W3 0,519114.0,181338.0,Ealing,30,Unsurveyed/Urban
GU17 0HP,GU17 0,484621.0,160296.0,Hart,60,Gleysols
TN35 5NA,TN35 5,582930.0,110318.0,Hastings,40,Unsurveyed/Urban
SL9 0LH,SL9 0,500453.0,192093.0,Buckinghamshire,100,Unsurveyed/Urban
RH10 1HG,RH10 1,526890.0,136629.0,Crawley,70,Unsurveyed/Urban
TN34 2HE,TN34 2,580967.0,110675.0,Hastings,30,Unsurveyed/Urban
CT17 0DB,CT17 0,630536.0,141835.0,Dover,50,Unsurveyed/Urban
E5 8JW,E5 8,534843.0,185436.0,Hackney,20,Unsurveyed/Urban
PO15 7DU,PO15 7,451765.0,109756.0,Fareham,30,Planosols
UB6 0DX,UB6 0,515137.0,185128.0,Ealing,50,Unsurveyed/Urban
UB2 5BQ,UB2 5,512177.0,179418.0,Ealing,30,Unsurveyed/Urban
OX13 5BY,OX13 5,439948.0,198273.0,Vale of White Horse,80,Luvisols
E9 7BN,E9 7,535980.0,184416.0,Hackney,10,Unsurveyed/Urban
E7 8PD,E7 8,541200.0,184267.0,Newham,10,Unsurveyed/Urban
N19 3HY,N19 3,529921.0,186901.0,Islington,40,Unsurveyed/Urban
HA0 1LZ,HA0 1,518733.0,183350.0,Brent,20,Unsurveyed/Urban
GU2 8GZ,GU2 8,497049.0,150938.0,Guildford,60,Unsurveyed/Urban
