postcode,sector,easting,northing,localAuthority,altitude,soilType,riskLabel,medianPrice
SO16 7DS,SO16 7,441817.0,115765.0,Southampton,70,Unsurveyed/Urban,1,434500.0
DA7 4EN,DA7 4,548021.0,175791.0,Bexley,50,Unsurveyed/Urban,1,501400.0
TN27 8DF,TN27 8,584956.0,136212.0,Ashford,60,Luvisols,1,630500.0
SO15 2TD,SO15 2,441312.0,113262.0,Southampton,20,Unsurveyed/Urban,1,148700.0
BN27 2HF,BN27 2,559215.0,109075.0,Wealden,20,Unsurveyed/Urban,1,257100.0
RH10 7BD,RH10 7,529740.0,137288.0,Crawley,90,Luvisols,1,394900.0
TN9 2AB,TN9 2,558818.0,145808.0,Tonbridge and Malling,30,Unsurveyed/Urban,1,438500.0
NW9 5BS,NW9 5,520395.0,190150.0,Barnet,50,Unsurveyed/Urban,1,163100.0
HA3 7SY,HA3 7,515790.0,189563.0,Harrow,50,Unsurveyed/Urban,3,425700.0
E17 7AQ,E17 7,535967.0,188949.0,Waltham Forest,10,Unsurveyed/Urban,1,1192000.0
HA9 9NF,HA9 9,519430.0,186778.0,Brent,60,Unsurveyed/Urban,1,493700.0
SO51 0QP,SO51 0,439595.0,127683.0,Winchester,140,Luvisols,1,630800.0
CM13 1TN,CM13 1,563102.0,195733.0,Brentwood,60,Unsurveyed/Urban,1,490600.0
RG27 9DF,RG27 9,472578.0,154066.0,Hart,80,Planosols,1,543700.0
KT19 7LJ,KT19 7,519338.0,162608.0,Epsom and Ewell,40,Cambisols,1,693400.0
TN34 3LA,TN34 3,582288.0,110300.0,Hastings,60,Unsurveyed/Urban,1,168600.0
TW14 0TW,TW14 0,510683.0,174936.0,Hounslow,20,Unsurveyed/Urban,1,913000.0
RG20 5TF,RG20 5,452509.0,158989.0,Basingstoke and Deane,100,Planosols,1,365600.0
TN39 3SS,TN39 3,571972.0,107290.0,Rother,20,Unsurveyed/Urban,1,430400.0
CT3 4GD,CT3 4,619896.0,161810.0,Canterbury,30,Luvisols,1,385700.0
GU32 1NX,GU32 1,467830.0,121854.0,East Hampshire,110,Leptosols,1,768300.0
RG22 6EP,RG22 6,462533.0,150969.0,Basingstoke and Deane,90,Unsurveyed/Urban,1,223700.0
PO20 8LA,PO20 8,480690.0,96315.0,Chichester,10,Gleysols,1,585200.0
GU31 5LF,GU31 5,478911.0,119490.0,Chichester,70,Luvisols,1,828900.0
SW19 1WZ,SW19 1,524334.0,170172.0,Merton,20,Unsurveyed/Urban,1,641800.0
RM14 3SX,RM14 3,564681.0,186167.0,Thurrock,10,Stagnosols,1,630300.0
E1 5BZ,E1 5,534523.0,181834.0,Tower Hamlets,10,Unsurveyed/Urban,1,573300.0
GU14 0BH,GU14 0,486095.0,155095.0,Rushmoor,70,Unsurveyed/Urban,1,354400.0
ME9 9PR,ME9 9,594327.0,162761.0,Swale,20,Luvisols,1,347100.0
PO4 0ER,PO4 0,465585.0,99433.0,Portsmouth,10,Unsurveyed/Urban,1,274400.0
GU14 8HU,GU14 8,486634.0,157402.0,Rushmoor,70,Unsurveyed/Urban,1,290900.0
SE18 5SN,SE18 5,542939.0,178768.0,Greenwich,30,Unsurveyed/Urban,1,359100.0
PO2 9LZ,PO2 9,465272.0,103702.0,Portsmouth,0,Unsurveyed/Urban,1,213900.0
CR0 7LP,CR0 7,535055.0,165990.0,Croydon,70,Unsurveyed/Urban,1,462800.0
PO33 2UH,PO33 2,458881.0,91871.0,Isle of Wight,50,Luvisols,1,181400.0
DA2 8DY,DA2 8,558727.0,170679.0,Dartford,30,Luvisols,1,365000.0
TW18 1PL,TW18 1,505678.0,170643.0,Spelthorne,20,Unsurveyed/Urban,6,515300.0
DA15 7DQ,DA15 7,546250.0,172205.0,Bexley,50,Unsurveyed/Urban,1,516100.0
ME19 4EA,ME19 4,567874.0,155180.0,Tonbridge and Malling,90,Luvisols,1,510400.0
RM11 1EZ,RM11 1,553671.0,187771.0,Havering,30,Unsurveyed/Urban,1,374200.0
HP10 0QU,HP10 0,490675.0,187301.0,Buckinghamshire,50,Luvisols,1,472300.0
E2 0AJ,E2 0,534551.0,182631.0,Tower Hamlets,10,Unsurveyed/Urban,1,502900.0
GU31 4BN,GU31 4,475176.0,123662.0,East Hampshire,70,Luvisols,1,495300.0
RH19 2NA,RH19 2,539017.0,140842.0,Tandridge,90,Luvisols,1,1677200.0
CR0 3NR,CR0 3,531151.0,166254.0,Croydon,40,Unsurveyed/Urban,1,376700.0
E2 8SF,E2 8,534332.0,183537.0,Hackney,20,Unsurveyed/Urban,1,631800.0
SW19 4NW,SW19 4,523678.0,170402.0,Merton,50,Unsurveyed/Urban,1,4779200.0
SE9 2SF,SE9 2,543613.0,174312.0,Greenwich,60,Unsurveyed/Urban,1,426100.0
SO16 6QG,SO16 6,440209.0,114629.0,Southampton,30,Unsurveyed/Urban,1,236800.0
N20 0JH,N20 0,527013.0,193605.0,Barnet,90,Unsurveyed/Urban,1,553900.0
DA14 4EQ,DA14 4,546810.0,171870.0,Bexley,50,Unsurveyed/Urban,1,449300.0
DA7 4DN,DA7 4,548606.0,175841.0,Bexley,50,Unsurveyed/Urban,1,401100.0
NW9 9NE,NW9 9,519913.0,188722.0,Brent,60,Mixed,1,462000.0
SE18 1AZ,SE18 1,545323.0,178243.0,Greenwich,40,Unsurveyed/Urban,1,308600.0
N7 0HR,N7 0,529842.0,185065.0,Islington,50,Unsurveyed/Urban,1,343100.0
BN10 7HJ,BN10 7,540242.0,101180.0,Lewes,30,Unsurveyed/Urban,1,318300.0
TN24 9RL,TN24 9,600900.0,145223.0,Ashford,60,Luvisols,1,268600.0
SN7 8LH,SN7 8,434328.0,193327.0,Vale of White Horse,70,Leptosols,1,593600.0
PO4 0QB,PO4 0,465219.0,98759.0,Portsmouth,10,Unsurveyed/Urban,3,421300.0
DA5 1QP,DA5 1,549033.0,173788.0,Bexley,30,Unsurveyed/Urban,1,496600.0
RM11 3QL,RM11 3,555198.0,187063.0,Havering,20,Unsurveyed/Urban,1,510400.0
BR1 2AF,BR1 2,542408.0,169169.0,Bromley,80,Unsurveyed/Urban,1,831100.0
E6 3PG,E6 3,542852.0,182437.0,Newham,10,Unsurveyed/Urban,6,395500.0
IG2 7DY,IG2 7,544672.0,187799.0,Redbridge,20,Unsurveyed/Urban,1,340600.0
SE18 6TU,SE18 6,543627.0,178226.0,Greenwich,30,Unsurveyed/Urban,1,256200.0
W1G 8QX,W1G 8,528630.0,181646.0,Westminster,30,Unsurveyed/Urban,1,1454400.0
RH1 4JX,RH1 4,530569.0,149878.0,Tandridge,90,Luvisols,1,482000.0
SM4 4AP,SM4 4,523611.0,166488.0,Merton,30,Unsurveyed/Urban,1,504300.0
N20 0SB,N20 0,527835.0,193147.0,Barnet,70,Unsurveyed/Urban,1,580400.0
RG4 9TG,RG4 9,470475.0,180829.0,South Oxfordshire,100,Luvisols,1,623300.0
GU2 9SB,GU2 9,498028.0,151497.0,Guildford,60,Unsurveyed/Urban,1,428800.0
PO18 0LN,PO18 0,493502.0,108366.0,Chichester,50,Luvisols,1,571700.0
W1T 2LD,W1T 2,529503.0,181718.0,Camden,30,Unsurveyed/Urban,1,5523700.0
RH4 2FQ,RH4 2,516895.0,149618.0,Mole Valley,60,Unsurveyed/Urban,1,614100.0
GU6 8HZ,GU6 8,503566.0,136056.0,Waverley,50,Planosols,1,693700.0
DA1 5PJ,DA1 5,554788.0,175608.0,Dartford,10,Unsurveyed/Urban,1,514600.0
CT4 7TJ,CT4 7,611225.0,154185.0,Canterbury,80,Cambisols,1,251200.0
UB8 1UE,UB8 1,505322.0,184164.0,Hillingdon,40,Unsurveyed/Urban,1,1066100.0
RG6 4UU,RG6 4,475424.0,170304.0,Wokingham,50,Mixed,1,445000.0
TN6 2RQ,TN6 2,551999.0,131271.0,Wealden,180,Unsurveyed/Urban,1,381000.0
BN23 5UP,BN23 5,563831.0,101698.0,Eastbourne,0,Arenosols,8,365700.0
SW13 0WZ,SW13 0,520531.0,175904.0,Richmond upon Thames,0,Unsurveyed/Urban,1,1334600.0
PO12 4HW,PO12 4,460674.0,101609.0,Gosport,10,Unsurveyed/Urban,1,229600.0
RG7 1SU,RG7 1,471740.0,164199.0,Wokingham,60,Planosols,1,417100.0
N1 7PH,N1 7,532662.0,183206.0,Hackney,20,Unsurveyed/Urban,1,811300.0
CT12 6SX,CT12 6,637540.0,166038.0,Thanet,30,Unsurveyed/Urban,1,270200.0
SE9 6ES,SE9 6,542287.0,174773.0,Greenwich,40,Unsurveyed/Urban,1,384600.0
ME16 0NQ,ME16 0,573831.0,156115.0,Maidstone,80,Luvisols,1,363200.0
SL9 8RA,SL9 8,499562.0,188860.0,Buckinghamshire,80,Unsurveyed/Urban,1,1076600.0
RM18 7BD,RM18 7,563812.0,176541.0,Thurrock,0,Unsurveyed/Urban,6,215000.0
TN31 6FB,TN31 6,583074.0,125595.0,Rother,30,Planosols,1,489800.0
BN21 3SH,BN21 3,561540.0,99442.0,Eastbourne,10,Unsurveyed/Urban,1,259200.0
NW3 3NU,NW3 3,526922.0,184230.0,Camden,50,Unsurveyed/Urban,1,1422600.0
TN2 5HE,TN2 5,559774.0,138159.0,Tunbridge Wells,110,Mixed,1,532800.0
RM3 7NA,RM3 7,554353.0,193823.0,Havering,70,Stagnosols,1,598400.0
TN8 7DN,TN8 7,550311.0,141289.0,Sevenoaks,90,Luvisols,1,1093600.0
SE15 6AG,SE15 6,533526.0,177604.0,Southwark,10,Unsurveyed/Urban,4,488200.0
E9 6DX,E9 6,535310.0,185044.0,Hackney,20,Unsurveyed/Urban,1,449900.0
NW7 4BA,NW7 4,522092.0,192558.0,Barnet,90,Unsurveyed/Urban,1,361500.0
SO51 0NQ,SO51 0,434376.0,126315.0,Test Valley,70,Luvisols,1,600700.0
DA9 9JL,DA9 9,559154.0,174153.0,Dartford,40,Unsurveyed/Urban,1,630800.0
IG2 7EN,IG2 7,545052.0,187984.0,Redbridge,20,Unsurveyed/Urban,1,447500.0
SL3 0RG,SL3 0,502924.0,177095.0,Slough,20,Mixed,1,1068800.0
SL5 7LS,SL5 7,492066.0,170600.0,Windsor and Maidenhead,70,Planosols,1,1141600.0
SW12 8QY,SW12 8,528482.0,173497.0,Wandsworth,20,Unsurveyed/Urban,1,1052100.0
EC1N 7AB,EC1N 7,531221.0,181781.0,Camden,20,Unsurveyed/Urban,1,694500.0
CT9 1TW,CT9 1,635757.0,170243.0,Thanet,20,Unsurveyed/Urban,1,213400.0
SW19 8RR,SW19 8,525039.0,170580.0,Merton,20,Unsurveyed/Urban,1,720700.0
TW7 5EY,TW7 5,516031.0,176775.0,Hounslow,10,Unsurveyed/Urban,1,642000.0
KT11 3DQ,KT11 3,510765.0,160034.0,Elmbridge,20,Cambisols,1,932900.0
PO9 5EY,PO9 5,472149.0,108076.0,Havant,40,Unsurveyed/Urban,1,278100.0
GU9 9TF,GU9 9,485820.0,149367.0,Waverley,80,Planosols,1,434900.0
MK18 5AN,MK18 5,468794.0,239391.0,Buckinghamshire,130,Stagnosols,1,880600.0
E10 6AB,E10 6,537988.0,186945.0,Waltham Forest,10,Unsurveyed/Urban,1,511200.0
W1K 7FP,W1K 7,528023.0,180863.0,Westminster,20,Unsurveyed/Urban,1,3890800.0
WC2H 9PL,WC2H 9,530106.0,181231.0,Camden,20,Unsurveyed/Urban,1,2069500.0
TW20 8NR,TW20 8,501913.0,170913.0,Runnymede,20,Unsurveyed/Urban,4,494700.0
CT10 2SB,CT10 2,637765.0,168464.0,Thanet,40,Cambisols,1,299000.0
SM6 8SQ,SM6 8,529002.0,164143.0,Sutton,50,Unsurveyed/Urban,1,388400.0
N3 1SR,N3 1,524306.0,190284.0,Barnet,60,Unsurveyed/Urban,1,652300.0
SE26 4JF,SE26 4,536033.0,171556.0,Lewisham,40,Unsurveyed/Urban,1,549700.0
CT6 6TH,CT6 6,621033.0,167197.0,Canterbury,30,Planosols,1,403300.0
SO40 9AB,SO40 9,435537.0,112639.0,New Forest,10,Unsurveyed/Urban,1,282900.0
RH12 4TH,RH12 4,518103.0,131879.0,Horsham,60,Mixed,1,265600.0
KT6 7JN,KT6 7,519374.0,165876.0,Kingston upon Thames,20,Unsurveyed/Urban,1,471300.0
SE3 7YT,SE3 7,539671.0,176044.0,Lewisham,20,Unsurveyed/Urban,1,658800.0
SE15 5RW,SE15 5,534012.0,176922.0,Southwark,10,Unsurveyed/Urban,1,800700.0
SE15 3BJ,SE15 3,535477.0,175149.0,Southwark,50,Unsurveyed/Urban,1,674400.0
RM8 2HB,RM8 2,547461.0,185373.0,Barking and Dagenham,10,Unsurveyed/Urban,1,344000.0
GU1 3NX,GU1 3,500621.0,149578.0,Guildford,70,Unsurveyed/Urban,1,1078300.0
N5 2UU,N5 2,532220.0,185933.0,Islington,40,Unsurveyed/Urban,1,750800.0
EC2V 6HD,EC2V 6,532180.0,181329.0,City of London,10,Unsurveyed/Urban,1,11428800.0
PO38 1JF,PO38 1,456412.0,77528.0,Isle of Wight,30,Luvisols,1,282800.0
SE1 0LA,SE1 0,532226.0,180035.0,Southwark,10,Unsurveyed/Urban,1,4524000.0
RG9 1SD,RG9 1,476080.0,182361.0,South Oxfordshire,40,Unsurveyed/Urban,1,480000.0
TN11 0QN,TN11 0,560284.0,145455.0,Tunbridge Wells,30,Luvisols,1,508300.0
CT12 4BA,CT12 4,631158.0,166335.0,Thanet,40,Luvisols,1,955900.0
CR2 0LR,CR2 0,534084.0,162332.0,Croydon,130,Unsurveyed/Urban,1,817100.0
KT22 9LZ,KT22 9,514527.0,155568.0,Mole Valley,60,Unsurveyed/Urban,1,659100.0
GU6 8LY,GU6 8,504749.0,139275.0,Waverley,50,Gleysols,1,642500.0
N3 3ED,N3 3,524409.0,189453.0,Barnet,60,Unsurveyed/Urban,1,1157900.0
RH2 0LD,RH2 0,526756.0,150804.0,Reigate and Banstead,110,Unsurveyed/Urban,1,2242400.0
HP5 1PF,HP5 1,496214.0,201162.0,Buckinghamshire,100,Luvisols,1,208800.0
BR8 8HH,BR8 8,550796.0,168044.0,Sevenoaks,80,Unsurveyed/Urban,1,253200.0
IG8 7LY,IG8 7,541310.0,191914.0,Redbridge,30,Unsurveyed/Urban,1,455300.0
ME15 6JQ,ME15 6,576333.0,155638.0,Maidstone,10,Unsurveyed/Urban,1,272900.0
RG4 9HS,RG4 9,468621.0,180305.0,South Oxfordshire,110,Luvisols,1,655400.0
CT5 2AE,CT5 2,611463.0,167042.0,Canterbury,20,Unsurveyed/Urban,1,771700.0
UB1 2PX,UB1 2,512831.0,181535.0,Ealing,30,Unsurveyed/Urban,1,432400.0
PO3 5BD,PO3 5,466094.0,101849.0,Portsmouth,0,Unsurveyed/Urban,1,174500.0
KT18 5QP,KT18 5,522745.0,158009.0,Reigate and Banstead,160,Unsurveyed/Urban,1,624500.0
RG14 7ST,RG14 7,448011.0,165735.0,West Berkshire,110,Cambisols,1,342200.0
KT15 1UQ,KT15 1,505008.0,164684.0,Runnymede,20,Unsurveyed/Urban,1,400700.0
CT11 9NJ,CT11 9,637597.0,164658.0,Thanet,30,Unsurveyed/Urban,1,244900.0
PO40 9SF,PO40 9,433592.0,87999.0,Isle of Wight,30,Luvisols,1,256700.0
CR0 7DJ,CR0 7,534580.0,166460.0,Croydon,60,Unsurveyed/Urban,1,486100.0
CT7 0DJ,CT7 0,630051.0,168582.0,Thanet,20,Unsurveyed/Urban,1,259700.0
CT7 0EG,CT7 0,630181.0,168281.0,Thanet,30,Unsurveyed/Urban,1,264900.0
SS4 3EZ,SS4 3,586307.0,192993.0,Rochford,30,Cambisols,1,324000.0
SE15 1AJ,SE15 1,535036.0,177398.0,Southwark,10,Unsurveyed/Urban,4,483000.0
OX29 4DU,OX29 4,444036.0,208338.0,Vale of White Horse,60,Gleysols,10,377600.0
RH12 3TP,RH12 3,514597.0,131408.0,Horsham,40,Luvisols,1,630900.0
TW9 4ES,TW9 4,519780.0,176423.0,Richmond upon Thames,0,Unsurveyed/Urban,1,832000.0
SE23 3XB,SE23 3,534952.0,173026.0,Lewisham,70,Unsurveyed/Urban,1,334900.0
BR1 4PU,BR1 4,540251.0,170935.0,Bromley,50,Unsurveyed/Urban,1,504000.0
GU24 8SZ,GU24 8,496663.0,163324.0,Surrey Heath,40,Gleysols,1,777200.0
GU29 9EP,GU29 9,488050.0,121996.0,Chichester,50,Podzols,1,1206800.0
EC4A 1BL,EC4A 1,531195.0,181205.0,City of London,20,Unsurveyed/Urban,1,3860200.0
CT6 7SQ,CT6 7,616294.0,166860.0,Canterbury,10,Unsurveyed/Urban,1,279800.0
TN38 9HN,TN38 9,579236.0,111481.0,Hastings,60,Unsurveyed/Urban,1,242000.0
W2 4LQ,W2 4,525575.0,180837.0,Westminster,20,Unsurveyed/Urban,1,2500200.0
N5 1AE,N5 1,531688.0,185614.0,Islington,40,Unsurveyed/Urban,1,960200.0
RH1 6HF,RH1 6,527637.0,149379.0,Reigate and Banstead,90,Unsurveyed/Urban,1,383500.0
