postcode sector,households,number of postcode units
B46  3,1277,136
B47  5,2887,173
B47  6,1216,120
B48  7,2469,244
B49  5,2108,216
B49  6,2558,239
B5   4,1571,218
B5   5,178,180
B5   6,190,176
B5   7,3480,313
B50  4,2232,225
B6   4,376,192
B6   5,1518,160
B6   6,3079,199
B6   7,1126,240
B60  1,3366,234
B60  2,3273,239
B60  3,3857,257
B60  4,1506,177
B61  0,4224,295
B61  7,2056,178
B61  8,2627,225
B61  9,1063,158
B62  0,2689,186
B62  8,3451,267
B62  9,4377,256
B63  1,2487,137
B63  2,5230,296
B63  3,3555,313
B63  4,4741,273
B64  5,1762,225
B64  6,3174,207
B64  7,2416,199
B65  0,2699,235
B65  8,3169,193
B65  9,4365,213
B66  1,1128,227
B66  2,538,247
B66  3,2676,247
B66  4,3309,229
B67  5,4436,221
B67  6,4125,206
B67  7,3579,211
B68  0,4107,225
B68  8,4133,221
B68  9,4624,244
B69  1,6143,294
B69  2,2179,206
B69  3,1431,159
B69  4,2228,279
B7   4,1514,234
B7   5,2014,203
B70  0,2747,281
B70  6,2853,246
B70  7,1292,222
B70  8,1314,234
B70  9,3014,266
B71  1,3344,219
B71  2,4144,212
B71  3,3895,225
B71  4,1639,134
B72  1,4043,374
B73  5,5863,338
B73  6,4075,307
B74  2,4204,335
B74  3,4777,314
B74  4,5006,323
B75  5,3400,298
B75  6,3742,264
B75  7,4173,274
B76  0,170,45
B76  1,5037,363
B76  2,2860,152
B76  9,1376,138
B77  1,4430,216
B77  2,5842,265
B77  3,3738,191
B77  4,5695,268
B77  5,3606,246
B78  1,4236,255
B78  2,1894,164
B78  3,4315,305
B79  0,1298,169
B79  7,3141,319
B79  8,4556,261
B79  9,948,108
B8   1,2893,240
B8   2,4963,289
B8   3,4522,249
B80  7,3106,254
B9   4,1588,244
B9   5,6113,330
B90  1,4811,315
B90  2,5379,264
B90  3,4357,290
B90  4,4766,393
B91  1,4402,302
B91  2,5208,325
B91  3,4334,396
B92  0,1732,190
B92  7,5449,249
B92  8,5406,267
B92  9,3545,200
B93  0,1636,188
B93  8,3143,275
B93  9,3433,230
B94  5,1660,201
B94  6,1476,221
B95  5,1914,260
B95  6,886,120
B96  6,2325,237
B97  4,2547,235
B97  5,7155,396
B97  6,4234,293
B98  0,6039,308
B98  7,7995,375
B98  8,3965,247
B98  9,2717,198
BA1  1,1072,354
BA1  2,3896,398
BA1  3,3235,273
BA1  4,2394,151
BA1  5,2274,304
BA1  6,4027,310
BA1  7,2422,241
BA1  8,384,79
BA1  9,105,68
BA10 0,1474,200
BA11 1,2450,285
BA11 2,4826,356
BA11 3,2199,234
BA11 4,2817,228
BA11 5,1500,172
BA11 6,844,104
BA12 0,2542,266
BA12 6,2057,247
BA12 7,1428,250
BA12 8,4140,300
BA12 9,3068,261
BA13 2,458,22
BA13 3,5641,391
BA13 4,2619,329
BA14 0,5356,357
BA14 6,2599,273
BA14 7,6296,371
BA14 8,2819,362
BA14 9,3536,284
BA15 1,4354,367
BA15 2,1726,233
BA16 0,4333,344
BA16 9,1136,92
BA2  0,2016,202
BA2  1,5451,268
BA2  2,4425,299
BA2  3,3358,316
BA2  4,2905,286
BA2  5,3199,269
BA2  6,3052,324
BA2  7,2231,348
BA2  8,3197,274
BA2  9,687,117
BA20 1,1305,327
BA20 2,3777,349
BA21 3,6506,343
BA21 4,4079,241
BA21 5,4318,314
BA22 7,1747,230
BA22 8,3413,372
BA22 9,2496,283
BA3  2,4233,331
BA3  3,4293,373
BA3  4,2952,377
BA3  5,2973,377
BA4  4,2126,300
BA4  5,3730,348
BA4  6,1968,265
BA5  1,2803,341
BA5  2,3553,366
BA5  3,1919,251
BA6  8,2935,356
BA6  9,3100,351
BA7  7,1725,237
BA8  0,1953,232
BA9  8,700,146
BA9  9,2730,293
BB1  1,4131,282
BB1  2,3791,229
BB1  3,1236,166
BB1  4,3065,178
BB1  5,2918,294
BB1  6,968,157
BB1  7,1276,142
BB1  8,3465,212
BB1  9,4347,248
BB10 1,3843,299
BB10 2,4356,319
BB10 3,3581,264
BB10 4,5052,248
BB11 2,2247,232
BB11 3,2124,226
BB11 4,2993,232
BB11 5,3114,277
BB12 0,3284,233
BB12 6,4038,243
BB12 7,3245,257
BB12 8,3810,297
BB12 9,1314,182
BB18 5,3634,312
BB18 6,4341,338
BB2  1,2514,232
BB2  2,2112,265
BB2  3,4287,305
BB2  4,6417,337
BB2  5,3025,185
BB2  6,3649,250
BB2  7,2961,220
BB3  0,3949,283
BB3  1,2941,256
BB3  2,4343,329
BB3  3,4378,279
BB4  4,3243,229
BB4  5,2677,252
BB4  6,3487,273
BB4  7,2709,293
BB4  8,3739,349
BB4  9,2616,269
BB5  0,3712,268
BB5  1,2047,248
BB5  2,3643,268
BB5  3,3811,258
BB5  4,3944,245
BB5  5,5039,380
BB5  6,4712,301
BB6  7,5058,331
BB6  8,1533,119
BB7  1,3592,243
BB7  2,3203,274
BB7  3,1400,125
BB7  4,2234,286
BB7  9,3653,390
BB8  0,3018,226
BB8  7,2143,214
BB8  8,2300,255
BB8  9,3387,242
BB9  0,5019,291
BB9  5,2575,250
BB9  6,2145,237
BB9  7,2258,312
BB9  8,3668,277
BB9  9,2996,278
BD1  1,263,261
BD1  2,326,225
BD1  3,463,214
BD1  4,462,255
BD1  5,509,239
BD10 0,3796,308
BD10 8,4338,330
BD10 9,2989,259
BD11 1,2463,165
BD11 2,2590,189
BD12 0,2416,258
BD12 7,877,102
BD12 8,2178,204
BD12 9,2105,177
BD13 1,1735,214
BD13 2,3265,278
BD13 3,3086,286
BD13 4,1561,169
BD13 5,1369,138
BD14 6,3482,273
BD15 0,1851,164
BD15 7,3325,298
BD15 9,1260,81
BD16 1,4450,345
BD16 2,1773,241
BD16 3,2426,219
BD16 4,3291,316
BD17 5,3735,279
BD17 6,2826,274
BD17 7,1935,279
BD18 1,2975,205
BD18 2,3009,214
BD18 3,2497,273
BD18 4,3490,259
BD19 3,2911,282
BD19 4,4160,313
BD19 5,1229,151
BD19 6,1779,179
BD2  1,3211,232
BD2  2,2176,149
BD2  3,3237,259
BD2  4,2903,218
BD20 0,2867,238
BD20 5,3109,304
BD20 6,3022,314
BD20 7,2201,234
BD20 8,2481,288
BD20 9,1809,209
BD21 1,2626,234
BD21 2,2424,238
BD21 3,1265,243
BD21 4,2991,329
BD21 5,1317,218
BD22 0,1997,264
BD22 6,3295,233
BD22 7,3928,270
BD22 8,2092,239
BD22 9,2003,244
BD23 1,2826,329
BD23 2,4028,314
BD23 3,2053,278
BD23 4,1714,250
BD23 5,1984,241
BD23 6,1857,250
BD24 0,934,148
BD24 9,1769,234
BD3  0,3437,233
BD3  7,2226,169
BD3  8,2675,244
BD3  9,2018,252
BD4  0,2881,275
BD4  6,3004,264
BD4  7,1926,248
BD4  8,2943,283
BD4  9,2393,211
BD5  0,2788,260
BD5  7,2006,223
BD5  8,2742,234
BD5  9,3558,199
BD6  1,4231,299
BD6  2,3104,274
BD6  3,5315,332
BD7  1,1664,221
BD7  2,3555,274
BD7  3,2932,184
BD7  4,3429,227
BD8  0,2971,220
BD8  7,2305,247
BD8  8,1761,209
BD8  9,3095,254
BD9  4,2724,264
BD9  5,2874,211
BD9  6,2995,240
BH1  1,1673,283
BH1  2,685,197
BH1  3,3960,310
BH1  4,4621,315
BH10 4,1794,142
BH10 5,3072,186
BH10 6,2159,133
BH10 7,1785,133
BH11 8,4222,285
BH11 9,4468,307
BH12 1,2891,201
BH12 2,3489,191
BH12 3,3519,201
BH12 4,3540,236
BH12 5,1693,118
BH13 6,2677,180
BH13 7,2546,234
BH14 0,3231,253
BH14 8,4781,348
BH14 9,3124,226
BH15 1,3544,345
BH15 2,2753,288
BH15 3,4799,274
BH15 4,4365,272
BH16 5,4606,274
BH16 6,2152,209
BH17 7,3892,374
BH17 8,3049,142
BH17 9,2715,144
BH18 8,2088,200
BH18 9,2576,180
BH19 1,2656,229
BH19 2,3160,266
BH19 3,1152,128
BH2  5,2922,292
BH2  6,2349,216
BH20 4,2691,259
BH20 5,2067,220
BH20 6,2376,189
BH20 7,2037,199
BH21 1,4939,390
BH21 2,3818,323
BH21 3,4202,320
BH21 4,862,147
BH21 5,1054,177
BH21 6,593,331
BH21 7,1651,242
BH21 8,213,29
BH22 0,3657,210
BH22 8,4846,316
BH22 9,4219,348
BH23 1,3017,266
BH23 2,5164,344
BH23 3,4258,305
BH23 4,4978,345
BH23 5,3715,281
BH23 6,204,90
BH23 7,1907,167
BH23 8,2021,170
BH24 1,4650,387
BH24 2,3208,303
BH24 3,2080,279
BH24 4,672,88
BH25 5,5593,396
BH25 6,3353,296
BH25 7,3531,294
BH3  7,2379,196
BH31 6,4352,272
BH31 7,1363,103
BH4  8,3333,173
BH4  9,2295,199
BH5  1,3998,209
BH5  2,2263,156
BH6  3,4581,273
BH6  4,2009,154
BH6  5,4092,281
BH7  6,3603,286
BH7  7,1597,187
BH8  0,3088,205
BH8  8,5730,384
BH8  9,3559,318
BH9  1,4905,323
BH9  2,3410,318
BH9  3,4187,243
BL0  0,2590,268
BL0  9,5438,394
BL1  1,230,315
BL1  2,2233,299
BL1  3,4441,315
BL1  4,4233,313
BL1  5,5213,369
BL1  6,3879,255
BL1  7,3648,263
BL1  8,4619,350
BL2  1,1837,197
BL2  2,4025,285
BL2  3,3878,251
BL2  4,2060,168
BL2  5,4159,246
BL2  6,4772,304
BL3  1,5403,307
BL3  2,3718,291
BL3  3,5950,308
BL3  4,6027,354
BL3  5,3151,238
BL3  6,2044,301
BL4  0,4112,233
BL4  7,3223,269
BL4  8,3636,263
BL4  9,3877,272
BL5  1,1213,116
BL5  2,5222,302
BL5  3,5374,391
BL6  4,2402,279
BL6  5,4474,343
BL6  6,3156,310
BL6  7,3033,275
BL7  0,1376,206
BL7  8,317,40
BL7  9,4882,368
BL8  1,5481,375
BL8  2,4633,331
BL8  3,3501,251
BL8  4,1820,228
BL9  0,1095,302
BL9  5,2865,228
BL9  6,4096,333
BL9  7,4460,314
BL9  8,4059,265
BL9  9,4649,325
BN1  1,1117,358
BN1  2,3152,310
BN1  3,5991,393
BN1  4,4201,381
BN1  5,4465,294
BN1  6,7710,396
BN1  7,3353,164
BN1  8,6032,333
BN1  9,1883,216
BN10 7,4035,289
BN10 8,4291,330
BN11 1,2433,331
BN11 2,4420,274
BN11 3,2756,268
BN11 4,4631,281
BN11 5,3095,262
BN12 4,3593,331
BN12 5,2425,246
BN12 6,3514,248
BN13 1,3715,293
BN13 2,4718,307
BN13 3,3704,365
BN14 0,2707,208
BN14 7,4591,295
BN14 8,2800,265
BN14 9,3145,256
BN15 0,3605,244
BN15 8,4058,289
BN15 9,4870,307
BN16 1,3239,288
BN16 2,3801,286
BN16 3,3908,304
BN16 4,2886,245
BN17 5,3584,280
BN17 6,5872,350
BN17 7,3479,303
BN18 0,3484,346
BN18 9,2554,277
BN2  0,3451,181
BN2  1,6540,395
BN2  3,5322,315
BN2  4,6095,298
BN2  5,6113,385
BN2  6,3996,212
BN2  7,2093,192
BN2  8,4049,254
BN2  9,4886,244
BN20 0,824,122
BN20 7,3310,312
BN20 8,3539,288
BN20 9,2388,206
BN21 1,3501,292
BN21 2,4631,341
BN21 3,3110,339
BN21 4,2614,321
BN22 0,4165,285
BN22 7,2455,245
BN22 8,4462,306
BN22 9,3235,214
BN23 5,3459,152
BN23 6,3155,269
BN23 7,3515,262
BN23 8,3212,170
BN24 5,2621,231
BN24 6,1756,165
BN25 1,2568,270
BN25 2,3471,314
BN25 3,3928,287
BN25 4,1326,194
BN26 5,3136,291
BN26 6,2566,323
BN27 1,2762,324
BN27 2,2311,246
BN27 3,4742,378
BN27 4,1890,308
BN3  1,6238,372
BN3  2,4355,375
BN3  3,7610,391
BN3  4,3731,251
BN3  5,5426,320
BN3  6,4769,350
BN3  7,4089,291
BN3  8,3447,191
BN41 1,2782,249
BN41 2,5972,298
BN42 4,4299,292
BN43 5,5393,384
BN43 6,4894,273
BN44 3,4581,357
BN45 7,284,56
BN5  9,3144,357
BN6  8,3895,324
BN6  9,3559,393
BN7  1,3621,340
BN7  2,3987,362
BN7  3,1669,229
BN8  4,2450,274
BN8  5,2646,313
BN8  6,1762,232
BN9  0,1680,224
BN9  9,4335,317
BR1  1,269,283
BR1  2,4674,390
BR1  3,6111,386
BR1  4,6193,324
BR1  5,7003,304
BR2  0,5636,363
BR2  6,988,132
BR2  7,3576,252
BR2  8,4552,266
BR2  9,4995,393
BR3  1,4645,368
BR3  3,5027,383
BR3  4,5888,373
BR3  5,3743,247
BR3  6,2463,180
BR4  0,3430,278
BR4  9,3969,275
BR5  1,4784,340
BR5  2,5415,322
BR5  3,4512,362
BR5  4,4534,286
BR6  0,4125,355
BR6  6,2716,224
BR6  7,3501,356
BR6  8,3460,257
BR6  9,6012,350
BR7  5,3032,351
BR7  6,4398,335
BR8  7,6373,377
BR8  8,2887,227
BS1  1,462,213
BS1  2,112,169
BS1  3,942,222
BS1  4,345,256
BS1  5,1624,255
BS1  6,2591,360
BS10 5,3852,259
BS10 6,4602,297
BS10 7,3663,325
BS11 0,4321,331
BS11 9,3397,361
BS13 0,3304,209
BS13 7,3562,220
BS13 8,3315,212
BS13 9,2829,171
BS14 0,3609,302
BS14 8,3487,195
BS14 9,5093,244
BS15 1,5262,333
BS15 3,3784,290
BS15 4,4887,330
BS15 8,3388,223
BS15 9,3434,203
BS16 1,4431,395
BS16 2,4103,313
BS16 3,3074,301
BS16 4,3915,274
BS16 5,4695,315
BS16 6,4408,317
BS16 7,3054,262
BS16 9,4181,260
BS2  0,1672,333
BS2  8,2825,284
BS2  9,3020,239
BS20 0,2168,214
BS20 6,3708,265
BS20 7,4984,354
BS20 8,2576,254
BS21 5,2137,129
BS21 6,3948,376
BS21 7,4491,382
BS22 6,3726,245
BS22 7,4229,244
BS22 8,4913,318
BS22 9,3748,360
BS23 1,2876,339
BS23 2,5187,322
BS23 3,5966,351
BS23 4,3703,257
BS24 0,887,125
BS24 6,143,157
BS24 7,3286,220
BS24 8,1030,130
BS24 9,2773,249
BS25 1,2055,222
BS25 5,715,94
BS26 2,2174,289
BS27 3,3105,334
BS28 4,1388,237
BS29 6,1336,136
BS3  1,4163,247
BS3  2,2745,235
BS3  3,3179,164
BS3  4,3834,254
BS3  5,3541,202
BS30 5,2029,209
BS30 6,1469,157
BS30 7,1491,106
BS30 8,4414,240
BS30 9,3363,192
BS31 1,3487,337
BS31 2,3635,313
BS31 3,1715,130
BS32 0,3079,134
BS32 4,1790,346
BS32 8,3368,133
BS32 9,2028,84
BS34 5,3551,348
BS34 6,2749,190
BS34 7,3074,218
BS34 8,3467,280
BS35 1,2832,269
BS35 2,2766,201
BS35 3,1371,181
BS35 4,2070,201
BS35 5,269,32
BS36 1,2591,230
BS36 2,3757,326
BS37 4,3465,229
BS37 5,3306,232
BS37 6,3468,312
BS37 7,2628,212
BS37 8,2479,128
BS37 9,334,61
BS39 4,1039,164
BS39 5,1811,244
BS39 6,1222,131
BS39 7,2263,187
BS4  1,5141,280
BS4  2,4302,241
BS4  3,4103,224
BS4  4,5583,278
BS4  5,1614,207
BS40 5,1929,268
BS40 6,965,163
BS40 7,710,132
BS40 8,1625,249
BS40 9,279,46
BS41 8,348,58
BS41 9,2233,188
BS48 1,2387,262
BS48 2,3061,233
BS48 3,2264,249
BS48 4,2351,183
BS49 4,3495,278
BS49 5,1475,133
BS5  0,3881,286
BS5  6,5672,267
BS5  7,4995,298
BS5  8,4571,270
BS5  9,4500,274
BS6  5,4862,238
BS6  6,5673,298
BS6  7,4040,270
BS7  0,6542,289
BS7  8,4080,232
BS7  9,6204,294
BS8  1,2110,270
BS8  2,3416,273
BS8  3,2444,259
BS8  4,4401,256
BS9  1,2959,322
BS9  2,2874,250
BS9  3,3607,297
BS9  4,3326,265
CA1  1,1286,232
CA1  2,5446,329
CA1  3,5016,281
CA10 1,2622,279
CA10 2,1657,211
CA10 3,2205,265
CA11 0,2243,290
CA11 7,1828,348
CA11 8,3665,328
CA11 9,2854,278
CA12 4,2542,261
CA12 5,1995,276
CA13 0,4023,372
CA13 9,3169,336
CA14 1,3728,336
CA14 2,2641,302
CA14 3,3978,322
CA14 4,2935,269
CA14 5,3285,260
CA15 6,2199,217
CA15 7,2970,228
CA15 8,2269,209
CA16 6,3012,298
CA17 4,2451,254
CA18 1,190,28
CA19 1,557,71
CA2  4,4773,267
CA2  5,3921,319
CA2  6,4509,253
CA2  7,5645,298
CA20 1,1688,224
CA21 2,480,40
CA22 2,4067,304
CA23 3,682,79
CA24 3,546,45
CA25 5,2842,252
CA26 3,1845,124
CA27 0,741,65
CA28 6,4180,274
CA28 7,1748,287
CA28 8,3792,286
CA28 9,3129,250
CA3  0,2719,230
CA3  8,174,263
CA3  9,3430,292
CA4  0,1419,194
CA4  8,2587,241
CA4  9,386,223
CA5  6,1637,197
CA5  7,1492,177
CA6  4,1759,224
CA6  5,1565,192
CA6  6,702,149
CA7  0,720,127
CA7  1,732,115
CA7  2,1228,158
CA7  3,1376,201
CA7  4,1926,219
CA7  5,877,95
CA7  8,866,162
CA7  9,2645,232
CA8  1,2279,248
CA8  2,876,164
CA8  7,730,132
CA8  9,994,133
CA9  3,1156,203
CB1  1,1700,213
CB1  2,3246,326
CB1  3,7969,390
CB1  7,1757,171
CB1  8,2284,123
CB1  9,3954,207
CB10 1,2176,314
CB10 2,3493,366
CB11 3,4094,374
CB11 4,3413,329
CB2  0,895,66
CB2  1,1105,310
CB2  3,168,214
CB2  7,66,17
CB2  8,1471,117
CB2  9,1437,196
CB21 4,3503,281
CB21 5,2339,171
CB21 6,682,64
CB22 3,3322,207
CB22 4,1803,146
CB22 5,3392,206
CB22 6,492,36
CB22 7,1317,100
CB23 1,1108,86
CB23 2,835,85
CB23 3,1401,140
CB23 4,472,71
CB23 5,828,72
CB23 6,2266,175
CB23 7,3442,227
CB23 8,2169,125
CB24 3,1795,112
CB24 4,1368,99
CB24 5,2826,169
CB24 6,1765,99
CB24 8,2729,168
CB24 9,3336,212
CB25 0,3516,207
CB25 9,4053,300
CB3  0,3130,311
CB3  9,1684,218
CB4  1,7243,396
CB4  2,6101,387
CB4  3,5135,340
CB5  8,4799,391
CB6  1,5422,300
CB6  2,4859,350
CB6  3,5771,375
CB7  4,4089,378
CB7  5,7660,395
CB8  0,4485,345
CB8  7,2992,331
CB8  8,4364,389
CB8  9,3070,334
CB9  0,3312,173
CB9  7,3966,375
CB9  8,2488,214
CB9  9,3498,219
CH1  1,662,307
CH1  2,731,209
CH1  3,2279,327
CH1  4,2970,270
CH1  5,5986,292
CH1  6,2090,189
CH2  1,4202,273
CH2  2,3669,195
CH2  3,4490,293
CH2  4,3147,266
CH3  5,5777,347
CH3  6,2137,272
CH3  7,2910,259
CH3  8,1711,180
CH3  9,1813,252
CH4  0,4398,23
CH4  7,3469,239
CH4  8,5115,207
CH4  9,1474,191
CH41 0,1640,80
CH41 1,365,122
CH41 2,1516,117
CH41 3,772,108
CH41 4,1483,130
CH41 5,552,117
CH41 6,138,127
CH41 7,1095,88
CH41 8,1344,130
CH41 9,866,95
CH42 0,1244,81
CH42 1,1565,93
CH42 2,1069,78
CH42 3,1265,58
CH42 4,1939,91
CH42 5,1528,70
CH42 6,1895,83
CH42 7,1078,57
CH42 8,1037,85
CH42 9,1767,108
CH43 0,2154,104
CH43 1,1526,90
CH43 2,2115,115
CH43 3,1209,90
CH43 4,1490,76
CH43 5,1867,106
CH43 6,899,66
CH43 7,2397,180
CH43 8,833,42
CH43 9,3325,214
CH44 0,1401,91
CH44 1,1199,71
CH44 2,1190,87
CH44 3,1049,73
CH44 4,1935,117
CH44 5,1499,106
CH44 6,1243,91
CH44 7,968,91
CH44 8,1517,91
CH44 9,1642,88
CH45 0,713,53
CH45 1,1366,89
CH45 2,1520,87
CH45 3,1193,102
CH45 4,1767,124
CH45 5,2007,129
CH45 6,1055,64
CH45 7,1537,103
CH45 8,1997,112
CH45 9,1080,64
CH46 0,1669,112
CH46 1,1111,78
CH46 2,1209,49
CH46 3,811,47
CH46 5,244,22
CH46 6,2348,136
CH46 7,1273,66
CH46 8,1389,67
CH46 9,1402,82
CH47 0,248,43
CH47 1,296,33
CH47 2,1018,85
CH47 3,1036,75
CH47 4,466,43
CH47 5,289,35
CH47 6,372,31
CH47 7,499,38
CH47 9,540,34
CH48 0,932,48
CH48 1,358,84
CH48 2,576,66
CH48 3,719,52
CH48 4,437,74
CH48 5,1196,91
CH48 6,905,58
CH48 7,255,46
CH48 8,540,49
CH48 9,1024,56
CH49 0,860,66
CH49 1,997,59
CH49 2,1576,93
CH49 3,1520,101
CH49 4,2359,136
CH49 5,744,51
CH49 6,1740,104
CH49 7,990,50
CH49 8,1351,56
CH49 9,828,62
CH60 0,633,78
CH60 1,810,62
CH60 2,660,54
CH60 3,414,54
CH60 4,363,50
CH60 5,904,55
CH60 6,532,49
CH60 7,624,55
CH60 8,411,62
CH60 9,548,58
CH61 0,219,16
CH61 1,520,57
CH61 2,256,18
CH61 3,774,46
CH61 4,1241,71
CH61 5,1176,53
CH61 6,1094,63
CH61 7,904,53
CH61 8,1015,57
CH61 9,720,57
CH62 0,494,57
CH62 1,1575,89
CH62 2,1533,92
CH62 3,503,99
CH62 4,914,111
CH62 5,1194,100
CH62 6,1656,87
CH62 7,1517,132
CH62 8,2122,109
CH62 9,1575,92
CH63 0,1914,132
CH63 1,149,24
CH63 2,2103,132
CH63 3,1816,121
CH63 4,145,30
CH63 5,1707,127
CH63 6,216,25
CH63 7,1787,113
CH63 8,1316,104
CH63 9,1912,141
CH64 0,1263,78
CH64 1,648,72
CH64 2,578,60
CH64 3,932,81
CH64 4,1286,95
CH64 5,392,45
CH64 6,1401,116
CH64 7,128,34
CH64 8,66,17
CH64 9,2088,163
CH65 0,498,82
CH65 2,1410,90
CH65 3,471,71
CH65 4,547,128
CH65 5,1527,97
CH65 6,1382,105
CH65 7,1628,88
CH65 8,2179,112
CH65 9,2450,158
CH66 1,2878,207
CH66 2,5245,317
CH66 3,2696,162
CH66 4,3671,257
CH66 5,463,47
CH66 6,160,15
CH66 7,84,30
CM0  7,3611,365
CM0  8,3728,324
CM1  1,1760,354
CM1  2,6765,358
CM1  3,3617,336
CM1  4,5579,372
CM1  6,5420,305
CM1  7,3526,252
CM11 1,2823,251
CM11 2,4796,344
CM12 0,5313,377
CM12 9,3313,344
CM13 1,3500,330
CM13 2,4406,293
CM13 3,2552,336
CM14 4,5032,381
CM14 5,4221,352
CM15 0,3563,301
CM15 8,2414,252
CM15 9,3776,262
CM16 4,1747,223
CM16 5,1644,109
CM16 6,3604,288
CM16 7,2911,239
CM17 0,3093,291
CM17 9,6078,348
CM18 6,5580,325
CM18 7,4895,285
CM19 4,4591,263
CM19 5,3543,318
CM2  0,2634,346
CM2  6,6255,387
CM2  7,3783,308
CM2  8,6385,376
CM2  9,6043,339
CM20 1,3082,304
CM20 2,1849,322
CM20 3,4789,261
CM21 0,1751,159
CM21 9,3144,260
CM22 6,2770,355
CM22 7,2522,315
CM23 1,629,131
CM23 2,3301,382
CM23 3,4221,369
CM23 4,4997,282
CM23 5,3575,266
CM24 8,2880,371
CM3  1,2276,247
CM3  2,2296,269
CM3  3,2066,252
CM3  4,3782,360
CM3  5,6133,396
CM3  6,3881,360
CM3  7,582,45
CM3  8,1231,159
CM4  0,2055,292
CM4  9,2469,297
CM5  0,2355,289
CM5  9,2260,280
CM6  1,5137,394
CM6  2,2613,274
CM6  3,2702,358
CM7  1,4005,251
CM7  2,2443,206
CM7  3,4908,267
CM7  4,1837,294
CM7  5,4029,348
CM7  9,3640,244
CM77 6,1066,107
CM77 7,2676,162
CM77 8,2155,233
CM8  1,6090,388
CM8  2,5224,388
CM8  3,2838,372
CM9  4,3854,293
CM9  5,2132,182
CM9  6,4806,388
CM9  8,4047,340
CO1  1,2465,389
CO1  2,5367,388
CO10 0,5592,395
CO10 1,3703,237
CO10 2,2378,245
CO10 5,979,142
CO10 7,2891,312
CO10 8,2544,255
CO10 9,3159,300
CO11 1,2685,310
CO11 2,3147,329
CO12 3,3527,298
CO12 4,5056,312
CO12 5,1666,164
CO13 0,3882,302
CO13 9,2492,210
CO14 8,3733,277
CO15 1,3477,323
CO15 2,3696,227
CO15 3,4077,271
CO15 4,4060,284
CO15 5,3614,270
CO15 6,2914,208
CO16 0,1278,156
CO16 7,2312,127
CO16 8,5304,371
CO16 9,2528,264
CO2  0,1868,177
CO2  7,3600,340
CO2  8,5545,376
CO2  9,3333,252
CO3  0,3369,246
CO3  3,3753,328
CO3  4,2906,222
CO3  8,332,108
CO3  9,2002,157
CO4  0,3129,191
CO4  3,6569,395
CO4  5,6007,395
CO4  9,3774,254
CO5  0,4262,318
CO5  7,1993,205
CO5  8,3676,351
CO5  9,2693,316
CO6  1,4180,381
CO6  2,2651,274
